    40 Harmonia           L.H. Wasserman   7.0   0.15 0.85 107.6 S       0   0   0   0   0   9 56486 4949 20191113 165.388213 269.614890  94.188685  4.257403 0.04714982   2.26690192 20190923 9.0E-03  1.1E-05 20191005 2.3E-02 20200425 3.0E-02 20240721 3.0E-02 20240721
    41 Daphne             L.H. Wasserman   7.12  0.10 0.73 174.0 C       0   0   0   0   0   0 55952 2448 20191113 177.301449  45.919671 178.081320 15.789711 0.27521464   2.76092908 20190927 1.9E-02  5.6E-05 20191005 2.0E-02 20191028 4.4E-02 20220516 4.4E-02 20220516
    42 Isis               L.H. Wasserman   7.53  0.15 0.88 100.2 S       0   0   0   0   0   9 59569 2717 20191113 255.089456 237.308802  84.196722  8.514640 0.22295684   2.44150849 20190923 1.1E-02  1.4E-05 20191005 3.4E-02 20200521 5.2E-02 20280805 5.2E-02 20280805
    43 Ariadne            L.H. Wasserman   7.93  0.11 0.87  65.9 S       0   0   0   0   0   0 56658 2426 20191113 198.166529  16.304510 264.810497  3.471433 0.16836133   2.20343809 20190927 1.5E-02  6.5E-05 20191005 2.9E-02 20200207 5.3E-02 20240615 5.3E-02 20240615
    44 Nysa               L.H. Wasserman   7.03  0.46 0.70  70.6 E       0   0   8   0   0   9 56779 2542 20191113 134.688036 343.585102 131.521662  3.707211 0.14780635   2.42477910 20190923 1.4E-02 -3.7E-05 20191005 2.7E-02 20200809 4.4E-02 20260131 4.4E-02 20260131
    45 Eugenia            L.H. Wasserman   7.46  0.07 0.66 214.6 C       0   0   0   0   0   0 56009 3219 20191113  82.587423  87.890410 147.599959  6.605313 0.08424138   2.71958993 20190927 1.9E-02 -1.2E-04 20191005 2.2E-02 20201102 2.9E-02 20280730 2.9E-02 20280730
    46 Hestia             L.H. Wasserman   8.36  0.06 0.70 124.1 C       0   0   0   0   0   0 56774 3252 20191113 119.020758 177.401340 181.080725  2.349759 0.17212307   2.52559389 20190927 1.4E-02  4.4E-05 20191005 2.5E-02 20200221 2.9E-02 20261023 2.9E-02 20261023
    47 Aglaja             L.H. Wasserman   7.84  0.16 0.66 127.0 C       0   0   0   0   0   0 58286 2622 20191113  92.488151 314.772350   3.075664  4.974690 0.12989361   2.88201759 20190927 2.0E-02  1.1E-04 20191005 2.4E-02 20191130 3.1E-02 20280909 3.1E-02 20280909
    48 Doris              L.H. Wasserman   6.90  0.15 0.72 221.8 C       0   0   8   0   0   0 56881 2922 20191113 105.468591 252.913928 183.552950  6.547945 0.07238111   3.10952909 20191003 1.6E-02  1.0E-05 20191005 3.2E-02 20200429 3.7E-02 20281112 3.7E-02 20281112
    49 Pales              L.H. Wasserman   7.8   0.15 0.75 149.8 C       0   0   0   0   0   0 56920 2608 20191113 276.176581 112.718576 285.054360  3.201334 0.22168253   3.10097188 20190927 1.6E-02 -5.8E-05 20191005 3.6E-02 20201012 3.6E-02 20201012 3.5E-02 20201012
    50 Virginia           L.H. Wasserman   9.24  0.15 0.71  99.8         0   0   0   0   0   0 59089 2897 20191113 204.229203 200.055749 173.527872  2.838199 0.28597882   2.64882083 20190923 9.6E-03 -2.9E-06 20191005 2.1E-02 20200530 4.7E-02 20250905 4.7E-02 20250905
    51 Nemausa            L.H. Wasserman   7.35  0.08 0.77 147.9 G       0   0   0   0   0   0 56963 4936 20191113 150.486212   2.338225 175.965928  9.978754 0.06774456   2.36504633 20190927 1.7E-02 -1.2E-04 20191005 2.4E-02 20201129 3.0E-02 20290315 3.0E-02 20290315
